text,label
I'm lost,lost
I am lost,lost
I can't find my way,lost
I don't know where I am,lost
Where am I,lost
I'm stranded,lost
I got lost on the trail,lost
I have no idea where I am,lost
I can't find the way back,lost
I lost my way,lost
I'm completely lost out here,lost
I wandered off and I'm lost,lost
I don't know how to get back,lost
I took a wrong turn and I'm lost,lost
Help me I'm lost,lost
I'm lost in the woods,lost
I can't find the path,lost
I'm turned around and don't know where I am,lost
I've lost my bearings,lost
I'm not sure where I am,lost
I'm hurt,injured
I'm injured,injured
I think I broke my leg,injured
I'm bleeding,injured
I fell and I can't get up,injured
My arm is broken,injured
I hurt my ankle,injured
I cut myself badly,injured
I can't move my leg,injured
I sprained my ankle,injured
I'm bleeding a lot,injured
I injured my back,injured
I fell down and I'm hurt,injured
Something is broken I think,injured
I hit my head hard,injured
My leg is bleeding,injured
I twisted my knee,injured
I can't walk I'm hurt,injured
I have a deep cut,injured
I'm in a lot of pain,injured
There's a fire,fire
Fire,fire
The house is on fire,fire
I see smoke,fire
Something is burning,fire
There's smoke everywhere,fire
The building is on fire,fire
I smell smoke,fire
The kitchen caught fire,fire
Flames are spreading,fire
There's a fire in the building,fire
Smoke is filling the room,fire
The forest is on fire,fire
I can see flames,fire
The car is on fire,fire
There's a wildfire nearby,fire
My house is burning,fire
Fire is spreading fast,fire
There's a lot of smoke,fire
The stove caught fire,fire
I'm trapped,trapped
I'm stuck,trapped
I can't get out,trapped
The door won't open and I'm stuck,trapped
I'm trapped inside,trapped
I'm stuck in here,trapped
I can't move I'm pinned,trapped
I'm trapped under something,trapped
The exit is blocked,trapped
I'm locked in,trapped
I can't get out of here,trapped
I'm stuck and can't escape,trapped
Something fell on me and I'm trapped,trapped
I'm pinned down,trapped
I'm trapped in the elevator,trapped
The way out is blocked,trapped
I'm stuck under the debris,trapped
I can't open the door I'm trapped,trapped
I'm caught and can't move,trapped
I'm trapped in the basement,trapped
What time is it,none
Hello there,none
How are you doing,none
What's the weather like,none
Tell me a joke,none
Can you play some music,none
What day is it today,none
Turn on the lights,none
What's for dinner,none
Set a timer for ten minutes,none
How far is the store,none
Good morning,none
Thanks for your help,none
What's your name,none
I'm going for a walk,none
Remind me to call mom,none
It's a nice day outside,none
Can you help me with something,none
I'm feeling great today,none
See you later,none
